event_id,entry_id,year,event_type,event_label,victim_id,victim_display,victim_full,victim_father,victim_grandfather,killer_id,killer_display,killer_full,killer_father,killer_grandfather,place_id,place_display,place_full,year_id,raw_clause
U600.1_c0_e0,U600.1,600,repose,repose U600.1,person_st_cainnech,Cainnech,St Cainnech,,,,,,,,,,,year_600,"Repose of St Cainnech,"
U600.1_c1_e0,U600.1,600,battle,battle U600.1,,,,,,,,,,,,,,year_600,and the battle of the Saxons in which Aedán was vanquished
U600.2_c0_e0,U600.2,600,slaying,slaying U600.2,person_suibne_son_of_colman_mor_son_of_diarmait_derg,Suibne,Suibne,Colmán Mór,Diarmait Derg,person_aed_slaine,Aed Sláine,Aed Sláine,,,place_bri_dam_in_the_suaine,Brí Dam in the Suaine,Brí Dam in the Suaine,year_600,"The slaying of Suibne son of Colmán Mór son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Aed Sláine in Brí Dam in the Suaine, i.e. a stream"
U601.2_c0_e0,U601.2,601,death,death U601.2,person_brenainn_son_of_cairpre_son_of_feichene,Brénainn,Brénainn,Cairpre,Feichéne,,,,,,,,,year_601,Death of Brénainn son of Cairpre son of Feichéne
U601.3_c1_e0,U601.3,601,battle,battle U601.3,,,,,,,,,,,,,,year_601,The battle of Slemain
U601.3_c2_e0,U601.3,601,battle,battle U601.3,,,,,,,,,,,,,,year_601,and the battle of Cúil Caíl
U601.3_c3_e0,U601.3,601,repose,repose U601.3,person_comgall,Comgall,Comgall,,,,,,,,,,,year_601,"and the repose of Comgall,"
U601.3_c4_e0,U601.3,601,death,death U601.3,person_uatu_son_of_aed,Uatu,Uatu,Aed,,,,,,,,,,year_601,and the death of Uatu son of Aed happened this year
U601.4_c0_e0,U601.4,601,repose,repose U601.4,person_colum_cille,Colum Cille,Colum Cille,,,,,,,,,,,year_601,"Or this year, the repose of Colum Cille on Sunday night"
U602.1_c0_e0,U602.1,602,repose,repose U602.1,person_comgall_of_bennchor,Comgall of Bennchor,Comgall of Bennchor,,,,,,,,,,,year_602,Repose of Comgall of Bennchor
U602.2_c0_e0,U602.2,602,battle,battle U602.2,,,,,,,,flight,,,,,,year_602,"The battle of Slemain in which Colmán Rímid, king of Cenél nÉogain, was victor, and Conall Cú, son of Aed son of Ainmire, took flight or escaped by flight"
U602.3_c0_e0,U602.3,602,battle,battle U602.3,,,,,,,,,,,,,,year_602,The battle of Cúil Caíl in which Fiachna son of Demán took flight
U602.4_c0_e0,U602.4,602,death,death U602.4,person_uatu_son_of_aed,Uatu,Uatu,Aed,,,,,,,,,,year_602,Death of Uatu son of Aed
U602.5_c0_e0,U602.5,602,battle,battle U602.5,,,,,,,,,,,,,,year_602,The battle of Echros
U603.1_c0_e0,U603.1,603,repose,repose U603.1,person_finntan_moccu_echdach,Finntan moccu Echdach,Finntan moccu Echdach,,,,,,,,,,,year_603,Repose of Finntan moccu Echdach
U603.2_c0_e0,U603.2,603,battle,battle U603.2,,,,,,,,,,,place_muiresc,Muiresc,Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce,year_603,The battle of Echros in Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce
U603.5_c0_e0,U603.5,603,battle,battle U603.5,,,,,,,,,,,place_mumu,Mumu,Mumu,year_603,The battle of Sliab Cua in Mumu
U604.1_c0_e0,U604.1,604,slaying,slaying U604.1,person_colman_rimid_son_of_baetan_brige_son_of_muirchertach_mac_erca,Colmán Rímid,Colmán Rímid,Baetán Bríge,Muirchertach Mac Erca,person_lochan_dilmana,Lochán Dilmana,Lochán Dilmana,,,,,,year_604,The slaying of Colmán Rímid son of Baetán Bríge son of Muirchertach Mac Erca by a man of his own kindred i.e. by one of his kindred called Lochán Dilmana
U604.2_c0_e0,U604.2,604,slaying,slaying U604.2,person_aed_slaine_son_of_diarmait_derg_son_of_fergus_cerrbel,Aed Sláine,Aed Sláine,Diarmait Derg,Fergus Cerrbél,person_conall_son_of_suibne,Conall,Conall son of Suibne,Suibne,,,,,year_604,The slaying of Aed Sláine son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Conall son of Suibne
U604.3_c0_e0,U604.3,604,slaying,slaying U604.3,person_aed_ron,Aed Rón,Aed Rón,,,,,,,,place_faithche_meic_meccnaen,Faithche Meic Meccnaen,Faithche Meic Meccnaen on the brink of Loch Semdid,year_604,"The slaying of Aed Rón, king of Uí Failge, in Faithche Meic Meccnaen on the brink of Loch Semdid on the same day on which Áed Sláine was slain"
U604.3_c1_e0,U604.3,604,slaying,slaying U604.3,person_aed_ron,Aed Rón,Aed Rón,,,,,,,,,,,year_604,"Aed Gustan, foster-brother of Conall, and Baethgal Bile, killed him"
U604.5_c0_e0,U604.5,604,death,death U604.5,person_conall_cu,Conall Cú,Conall Cú,,,,,,,,,,,year_604,"Death of Conall Cú, son of Áed son of Ainmire"
U605.1_c0_e0,U605.1,605,battle,battle U605.1,,,,,,,,,,,,,,year_605,The battle of Slaebre in which Brandub son of Eochu was vanquished
U605.2_c0_e0,U605.2,605,slaying,slaying U605.2,person_brandub_son_of_eochu_son_of_muiredach,Brandub,Brandub,Eochu,Muiredach,,,his own kindred,,,,,,year_605,"The slaying of Brandub, king of Laigin, by his own kindred in treachery"
U605.2_c2_e0,U605.2,605,slaying,slaying U605.2,person_brandub,Brandub,Brandub,,,,,,,,place_damchluain,Damchluain,Damchluain,year_605,He reigned 30 years in Laigin and was slain in the battle of Damchluain
U605.2_c3_e0,U605.2,605,slaying,slaying U605.2,person_brandub,Brandub,Brandub,,,person_saran_saebderg,Sarán Saebderg,Sarán Saebderg,,,,,,year_605,"or it may have been Sarán Saebderg, i.e. superior of Senboth Sine, who killed him, as the poet said"
U605.4_c0_e0,U605.4,605,death,death U605.4,person_laisren,Laisrén,Laisrén,,,,,,,,,,,year_605,"Death of Laisrén, abbot of Ía"
U606.1_c0_e0,U606.1,606,repose,repose U606.1,person_beoguin,Beóguin,Beóguin,,,,,,,,,,,year_606,"Repose of Beóguin, abbot of Bennchor"
U606.2_c0_e0,U606.2,606,death,death U606.2,person_aedan_son_of_gabran_son_of_domangart,Aedán,Aedán,Gabrán,Domangart,,,,,,,,,year_606,"Death of Aedán son of Gabrán son of Domangart, king of Albu,"
U606.2_c1_e0,U606.2,606,slaying,slaying U606.2,,,the sons of Baetán,,,,,,,,,,,year_606,and the slaying of the sons of Baetán i.e. son of Cairell
U608.1_c0_e0,U608.1,608,death,death U608.1,person_fiachna_crach_son_of_baetan,Fiachna Crach,Fiachna Crach,Baetán,,,,the Cruithin,,,,,,year_608,"Death of Fiachna Crach son of Baetán, by the Cruithin, and repose of Aed son of Dall"
U609.1_c1_e0,U609.1,609,death,death U609.1,person_conall_son_of_daimene,Conall,Conall,Daiméne,,,,,,,,,,year_609,"and the death of Conall son of Daiméne,"
U609.1_c2_e0,U609.1,609,repose,repose U609.1,person_lugaid_moccu_ochae,Lugaid moccu Óchae,Lugaid moccu Óchae,,,,,,,,,,,year_609,and the repose of Lugaid moccu Óchae
U610.1_c0_e0,U610.1,610,death,death U610.1,person_aed_son_of_colgu,Aed,Aed,Colgu,,,,,,,,,,year_610,"Death of Aed son of Colgu, king of Ind Airthir"
U610.2_c0_e0,U610.2,610,death,death U610.2,person_sillan_moccu_minn,Sillán moccu Minn,Sillán moccu Minn,,,,,,,,,,,year_610,"Death of Sillán moccu Minn, abbot of Bennchor,"
U610.2_c1_e0,U610.2,610,death,death U610.2,person_aedan,Aedán,Aedán,,,,,,,,,,,year_610,"and the death of Aedán, anchorite of Bennchor,"
U610.2_c2_e0,U610.2,610,death,death U610.2,person_mael_umai_son_of_baetan,Mael Umai,Mael Umai,Baetán,,,,,,,,,,year_610,and the death of Mael Umai son of Baetán
U611.2_c0_e0,U611.2,611,death,death U611.2,person_mael_duin_son_of_ailene,Mael Dúin,Mael Dúin,Ailéne,,,,,,,,,,year_611,"Death of Mael Dúin son of Ailéne, king of Mugdorna, and death of Eógan son of Eochu Laib"
U611.3_c0_e0,U611.3,611,repose,repose U611.3,person_colman_of_lann_ela,Colmán of Lann Ela,Colmán of Lann Ela,,,,,,,,,,,year_611,Repose of Colmán of Lann Ela
U612.1_c0_e0,U612.1,612,death,death U612.1,person_aed_allan_son_of_domnall,Aed Allán,Aed Allán,Domnall,,,,,,,,,,year_612,"Death of Aed Allán son of Domnall, king of Temair"
U612.2_c0_e0,U612.2,612,battle,battle U612.2,,,,,,person_aengus_son_of_colman,Aengus,Aengus son of Colmán,Colmán,,,,,year_612,"The battle of Odba, won by Aengus son of Colmán, in which fell Conall Laeg Breg son of Aed Sláine"
U613.1_c0_e0,U613.1,613,repose,repose U613.1,person_finntan_of_aentrab,Finntan of Aentrab,Finntan of Aentrab,,,,,,,,,,,year_613,"Repose of Finntan of Aentrab, abbot of Bennchor"
U613.2_c0_e0,U613.2,613,death,death U613.2,person_colman_uathach,Colmán Uathach,Colmán Uathach,,,,,,,,,,,year_613,Death of Colmán Uathach
U613.3_c0_e0,U613.3,613,slaying,slaying U613.3,,,,,,,,,,,,,,year_613,"The battle of Caer Legion, in which holy men were slain, and Solon son of Conaen, king of the Britons fell"
U615.1_c0_e0,U615.1,615,slaying,slaying U615.1,person_mael_coba_son_of_aed,Mael Coba,Mael Coba,Áed,,,,,,,place_the_battle_of_sliab_truim,the battle of Sliab Truim,the battle of Sliab Truim,year_615,"The slaying of Mael Coba son of Áed in the battle of Sliab Tuath Bélgadhain, alias in the battle of Sliab Truim"
U615.2_c0_e0,U615.2,615,repose,repose U615.2,person_diarmait,Diarmait,Diarmait,,,,,,,,,,,year_615,"Repose of Diarmait, third abbot of Cluain Iraird"
U615.3_c0_e0,U615.3,615,battle,battle U615.3,,,,,,,,,,,,,,year_615,The battle of Fidnach eilech in riaddai (?)
U616.1_c0_e0,U616.1,616,death,death U616.1,person_suibne_son_of_crechene,Suibne,Suibne,Crechéne,,,,,,,,,,year_616,"Death of Suibne son of Crechéne, king of Ciannachta Glinne Geimin, and death of Aedán son of Mongan, king of Dál Riata or nAraide and death of Petrán bishop of Lusca"
U618.2_c0_e0,U618.2,618,slaying,slaying U618.2,person_colgu_son_of_suibne,Colgu,Colgu,Suibne,,,,,,,,,,year_618,The slaying of Colgu son of Suibne
U618.2_c1_e0,U618.2,618,death,death U618.2,person_fiachra_son_of_conall,Fiachra,Fiachra,Conall,,,,,,,,,,year_618,and the death of Fiachra son of Conall
U618.2_c2_e0,U618.2,618,slaying,slaying U618.2,person_fergus_son_of_colman_mor,Fergus,Fergus,Colmán Mór,,person_anfartach_descendant_of_mescan,Anfartach descendant of Mescán,Anfartach descendant of Mescán,,,,,,year_618,"and the slaying of Fergus son of Colmán Mór i.e. by Anfartach descendant of Mescán, of the people of Blaitíne"
U619.2_c0_e0,U619.2,619,death,death U619.2,person_sillan,Sillán,Sillán,,,,,,,,,,,year_619,"Death of Sillán, abbot of Mag Bili"
U619.3_c0_e0,U619.3,619,death,death U619.3,person_aed_bennan_and_of_fingein_son_of_fiachra,Aed Bennán and of Fíngein,Aed Bennán and of Fíngein,Fiachra,,,,,,,,,,year_619,Death of Aed Bennán and of Fíngein son of Fiachra
U620.1_c0_e0,U620.1,620,slaying,slaying U620.1,,,,,,,,,,,place_mag_slecht,Mag Slécht,Mag Slécht in the territory of Connacht of the kindred of Baetán,year_620,The slaying in Mag Slécht in the territory of Connacht of the kindred of Baetán i.e. of Ailill son of Baetán and of Mael Dúin son of Fergus son of Baetan
U620.1_c1_e0,U620.1,620,death,death U620.1,person_fiachra_son_of_ciaran_son_of_ainmire,Fiachra,Fiachra,Ciarán,Ainmire,,,,,,,,,year_620,and the death of Fiachra son of Ciarán son of Ainmire son of Sétna
U622.1_c0_e0,U622.1,622,battle,battle U622.1,,,,,,,,,,,,,,year_622,The battle of Cenn Deilgthen
U622.3_c0_e0,U622.3,622,death,death U622.3,person_mael_mracho_son_of_rimid_son_of_colman,Mael Mracho,Mael Mracho,Rímid,Colmán,,,,,,,,,year_622,"Death of Mael Mracho son of Rímid son of Colmán son of Cobthach, and of Ailill son of Cellach"
U622.4_c0_e0,U622.4,622,battle,battle U622.4,,,,,,,,,,,,,,year_622,The battle of Lindas
U622.5_c0_e0,U622.5,622,repose,repose U622.5,person_caemgein_of_glenn_da_locha_according_to_some,Caemgein of Glenn dá Locha according to some,Caemgein of Glenn dá Locha according to some,,,,,,,,,,,year_622,Repose of Caemgein of Glenn dá Locha according to some
U622.6_c0_e0,U622.6,622,battle,battle U622.6,,,,,,,,,,,,,,year_622,"The battle of Cennbag, in which Colmán son of Cobthach fell"
U622.8_c0_e0,U622.8,622,death,death U622.8,person_colgu_son_of_cellach,Colgu,Colgu,Cellach,,,,,,,,,,year_622,The death of Colgu son of Cellach
U623.1_c0_e0,U623.1,623,death,death U623.1,person_fergna,Fergna,Fergna,,,,,,,,,,,year_623,"Death of Fergna, abbot of Í"
U623.2_c0_e0,U623.2,623,repose,repose U623.2,person_mac_laisre,Mac Laisre,Mac Laisre,,,,,,,,,,,year_623,"Repose of Mac Laisre, abbot of Ard Macha, and of Finnia, abbot of Ner"
U624.1_c0_e0,U624.1,624,death,death U624.1,person_ronan,Rónán,Rónán,,,,,,,,,,,year_624,"Death of Rónán, son of Colmán"
U626.1_c0_e0,U626.1,626,battle,battle U626.1,,,,,,,,,,,,,,year_626,The battle of Leithet Midind in which Fiachna of Lurga fell
U627.1_c0_e0,U627.1,627,battle,battle U627.1,,,,,,,,,,,,,,year_627,The battle of Ard Corann in which fell Fiachna son of Demán
U627.2_c0_e0,U627.2,627,battle,battle U627.2,,,,,,,,,,,,,,year_627,"The battle of Carn Feradaig in Cliú, in which Failbe the Red of Feimen was victor"
U628.1_c0_e0,U628.1,628,battle,battle U628.1,,,,,,,,,,,,,,year_628,"The battle of Bolg Luatha, in which Faelán son of Colmán, king of Laigin, was victor"
U628.2_c0_e0,U628.2,628,battle,battle U628.2,,,,,,,,,,,,,,year_628,"The battle of Both, in which Suibne Menn son of Fiachna was victor, and Domnall son of Aed took flight"
U628.3_c0_e0,U628.3,628,slaying,slaying U628.3,person_suibne_menn_the_king_of_ireland,Suibne Menn—the king of Ireland,Suibne Menn—the king of Ireland,,,person_congal_caech_son_of_scanlan,Congal Caech,Congal Caech son of Scanlán,Scanlán,,place_taerr_breni,Taerr Bréni,Taerr Bréni,year_628,"The slaying of Suibne Menn—the king of Ireland, Suibne Menn son of Fiachna son of Feradach son of Muiredach son of Eógan—in Taerr Bréni, i.e. by Congal Caech son of Scanlán"
U628.4_c0_e0,U628.4,628,repose,repose U628.4,person_colum_son_of_bairdene,Colum,Colum,Bairdéne,,,,,,,,,,year_628,"Repose of Colum son of Bairdéne, abbot of Cluain"
U629.1_c0_e0,U629.1,629,battle,battle U629.1,,,,,,,,,,,,,,year_629,"The battle of Fid Eóin in which Mael Caích son of Scannal, king of the Cruithin, was victor"
U629.2_c0_e0,U629.2,629,battle,battle U629.2,,,,,,,,,,,,,,year_629,"The battle of Dún Ceithirn, in which Congal Caech took flight, and Domnall son of Aed was victor, in which Guaire son of Forinnán fell"
U629.3_c0_e0,U629.3,629,battle,battle U629.3,,,,,,,,,,,,,,year_629,"Or, the battle of Fid Eóin, in which fell the grandsons of Aedán, Rigullon and Failbe"
U629.4_c0_e0,U629.4,629,death,death U629.4,person_echaid_buide_son_of_aedan,Echaid Buide,Echaid Buide,Aedán,,,,,,,,,,year_629,"Death of Echaid Buide son of Aedán, king of the Picts"
U630.1_c0_e0,U630.1,630,battle,battle U630.1,,,,,,,,,,,,,,year_630,"The battle of Leitheirbe between the Cenél nEógain themselves, in which Mael Fithrich fell"
U630.1_c1_e0,U630.1,630,battle,battle U630.1,,,,,,,,,,,,,,year_630,and the battle of Mitaine
U630.3_c1_e0,U630.3,630,battle,battle U630.3,,,,,,,,,,,,,,year_630,"The battle of Leitheirbe between the descendants of Mac Erca and the descendants of Feradach, in which Mael Fithrich fell"
U631.1_c0_e0,U631.1,631,death,death U631.1,person_cinaed_son_of_lugthreine,Cinaed,Cinaed,Lugthréine,,,,,,,,,,year_631,"The battle of Aille's son, and death of Cinaed son of Lugthréine, king of the Picts"
U632.1_c0_e0,U632.1,632,battle,battle U632.1,,,,,,,,,,,,,,year_632,"The battle of Cadwallon, king of the Britons, and Ainfrith"
U632.3_c0_e0,U632.3,632,battle,battle U632.3,,,,,,,,the Munster host,,,,,,year_632,"The battle of Áth Abla, in which Dícuill son of Fergus Tuile fell by the Munster host"
U633.1_c0_e0,U633.1,633,battle,battle U633.1,,,,,,,,,,,,,,year_633,"The battle of Iudris, king of the Britons"
U633.2_c0_e0,U633.2,633,battle,battle U633.2,,,,,,,,,,,,,,year_633,"The battle of Áth Goan in western Life, in which Cremthann son of Aed son of Senach, king of Laigin, fell"
U635.1_c0_e0,U635.1,635,slaying,slaying U635.1,person_conall_son_of_suibne,Conall,Conall,Suibne,,person_diarmait_son_of_aed_slaine,Diarmait,Diarmait son of Aed Sláine,Aed Sláine,,,,,year_635,The slaying of Conall son of Suibne in the house of Nad-Fraích's son by Diarmait son of Aed Sláine
U635.2_c0_e0,U635.2,635,battle,battle U635.2,,,,,,person_diarmait_son_of_aed_slaine,Diarmait,Diarmait son of Aed Sláine,Aed Sláine,,,,,year_635,"The battle of Cúil Caeláin won by Diarmait son of Aed Sláine, and Mael Umai son of Oengus fell therein"
U635.4_c0_e0,U635.4,635,slaying,slaying U635.4,,,,,,,,,,,place_mag_breg,Mag Breg,Mag Breg,year_635,A great snowfall killed many in Mag Breg
U635.5_c0_e0,U635.5,635,repose,repose U635.5,person_fintan_son_of_telchan_and_of_ernaine_son_of_cresene,Fintan,Fintan,Telchán and of Ernaine,Crésene,,,,,,,,,year_635,Repose of Fintan son of Telchán and of Ernaine son of Crésene
U635.6_c0_e0,U635.6,635,death,death U635.6,person_gartnan_son_of_foth,Gartnán,Gartnán,Foth,,,,,,,,,,year_635,Death of Gartnán son of Foth
U635.8_c0_e0,U635.8,635,battle,battle U635.8,,,,,,,,,,,,,,year_635,"The battle of Segais in which fell Lóchéne son of Nechtan Cennfhata, Cumuscach son of Óengus and Gartnaith son of Foth"
U636.1_c0_e0,U636.1,636,battle,battle U636.1,,,,,,,,,,,,,,year_636,"The killing of Ernáine son of Fiachna, who defeated Mael Fithrich son of Aed Allán alias Uairidnach in the battle of Leitheirbe"
U637.1_c0_e0,U637.1,637,battle,battle U637.1,,,,,,,,,,,,,,year_637,The battle of Mag Roth
U637.1_c1_e0,U637.1,637,battle,battle U637.1,,,,,,,,,,,,,,year_637,and the battle of Sailtír were fought on the same day
U637.1_c2_e0,U637.1,637,battle,battle U637.1,,,,,,,,,,,,,,year_637,"Conall Cael son of Mael Cobo of the Cenél nEógain, and adherent of Domnall, was victor in the battle of Sailtír"
U637.1_c3_e0,U637.1,637,death,death U637.1,person_failbe_flann_of_feimen,Failbe Flann of Feimen,Failbe Flann of Feimen,,,,,,,,,,,year_637,"and the death of Failbe Flann of Feimen, king of Mumu"
U638.1_c0_e0,U638.1,638,battle,battle U638.1,,,,,,,,,,,,,,year_638,The battle of Glenn Muiresan and the besieging of Eten
U639.2_c0_e0,U639.2,639,death,death U639.2,person_duinsech,Duinsech,Duinsech,,,,,,,,,,,year_639,"Death of Duinsech, wife of Domnall"
U639.3_c0_e0,U639.3,639,battle,battle U639.3,,,,,,,,,,,,,,year_639,"The battle of Oswald, king of the Saxons"
U639.4_c0_e0,U639.4,639,repose,repose U639.4,person_cridan,Crídán,Crídán,,,,,,,,place_naendruim,Naendruim,Naendruim,year_639,"Repose of Crídán in Naendruim, and of Aed Dub, abbot of Cell Dara—both bishops"
U639.6_c0_e0,U639.6,639,death,death U639.6,person_ailill_son_of_aed_ron,Ailill,Ailill,Aed Rón,,,,,,,,,,year_639,Death of Ailill son of Aed Rón
U640.1_c0_e0,U640.1,640,battle,battle U640.1,,,,,,,,,,,,,,year_640,The battle of Cathair Chinn Chon
U641.1_c0_e0,U641.1,641,death,death U641.1,person_maelodar_caech,Maelodar Caech,Maelodar Caech,,,,,,,,,,,year_641,"Death of Maelodar Caech, king of the Airthir"
U641.2_c0_e0,U641.2,641,death,death U641.2,person_bruide_son_of_foth,Bruide,Bruide,Foth,,,,,,,,,,year_641,Death of Bruide son of Foth
U642.1_c0_e0,U642.1,642,death,death U642.1,person_domnall_son_of_aed,Domnall,Domnall,Aed,,,,,,,,,,year_642,"Death of Domnall son of Aed, king of Ireland, at the end of January"
U642.1_c1_e0,U642.1,642,slaying,slaying U642.1,person_domnall,Domnall,Domnall,,,person_hoan,Hoan,Hoan,,,place_srath_caruin,Srath Caruin,Srath Caruin,year_642,"Afterwards Domnall Brec was slain at the end of the year, in December, in the battle of Srath Caruin, by Hoan, king of the Britons"
U642.4_c0_e0,U642.4,642,battle,battle U642.4,,,,,,,,,,,,,,year_642,The battle of Oswy against the Britons
U643.1_c0_e0,U643.1,643,death,death U643.1,person_huaisle_son_of_suibne,Huaisle,Huaisle,Suibne,,,,,,,,,,year_643,Death of Huaisle son of Suibne
U643.2_c0_e0,U643.2,643,repose,repose U643.2,person_cronan,Crónán,Crónán,,,,,,,,,,,year_643,"Repose of Crónán, bishop of Naendruim"
U643.3_c0_e0,U643.3,643,battle,battle U643.3,,,,,,,,,,,,,,year_643,The battle of Cenn Con
U644.2_c0_e0,U644.2,644,slaying,slaying U644.2,person_flann_of_aenach,Flann of Aenach,Flann of Aenach,,,,,,,,,,,year_644,The slaying of Flann of Aenach
