place_id,display_place,full_place_text,years,event_count,event_types,connected_people,source_entries,evidence_preview,profile_text
place_bri_dam_in_the_suaine,Brí Dam in the Suaine,Brí Dam in the Suaine,600,1,slaying,"Suibne, Aed Sláine",U600.2,"The slaying of Suibne son of Colmán Mór son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Aed Sláine in Brí Dam in the Suaine, i.e. a stream","Place: Brí Dam in the Suaine
Full record: Brí Dam in the Suaine
Year(s): 600
Event type(s): slaying
Connected people: Suibne, Aed Sláine
Source entry: U600.2
Evidence: The slaying of Suibne son of Colmán Mór son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Aed Sláine in Brí Dam in the Suaine, i.e. a stream"
place_damchluain,Damchluain,Damchluain,605,1,slaying,Brandub,U605.2,He reigned 30 years in Laigin and was slain in the battle of Damchluain,"Place: Damchluain
Full record: Damchluain
Year(s): 605
Event type(s): slaying
Connected people: Brandub
Source entry: U605.2
Evidence: He reigned 30 years in Laigin and was slain in the battle of Damchluain"
place_dun_forgo,Dún Forgo,Dún Forgo,677,1,slaying,,U677.2,Dúnchad son of Ultán was slain in Dún Forgo,"Place: Dún Forgo
Full record: Dún Forgo
Year(s): 677
Event type(s): slaying
Connected people: 
Source entry: U677.2
Evidence: Dúnchad son of Ultán was slain in Dún Forgo"
place_faithche_meic_meccnaen,Faithche Meic Meccnaen,Faithche Meic Meccnaen on the brink of Loch Semdid,604,1,slaying,Aed Rón,U604.3,"The slaying of Aed Rón, king of Uí Failge, in Faithche Meic Meccnaen on the brink of Loch Semdid on the same day on which Áed Sláine was slain","Place: Faithche Meic Meccnaen
Full record: Faithche Meic Meccnaen on the brink of Loch Semdid
Year(s): 604
Event type(s): slaying
Connected people: Aed Rón
Source entry: U604.3
Evidence: The slaying of Aed Rón, king of Uí Failge, in Faithche Meic Meccnaen on the brink of Loch Semdid on the same day on which Áed Sláine was slain"
place_fernmag,Fernmag,Fernmag in which fell Conchobor of Macha son of Mael Dúin and Aed of Aire,698,1,,,U698.1,"A battle in Fernmag in which fell Conchobor of Macha son of Mael Dúin and Aed of Aire, king of Dál nAraidi","Place: Fernmag
Full record: Fernmag in which fell Conchobor of Macha son of Mael Dúin and Aed of Aire
Year(s): 698
Event type(s): 
Connected people: 
Source entry: U698.1
Evidence: A battle in Fernmag in which fell Conchobor of Macha son of Mael Dúin and Aed of Aire, king of Dál nAraidi"
place_fortrenn,Fortrenn,Fortrenn,664,1,,,U664.3,The battle of Luith Feirn i.e. in Fortrenn,"Place: Fortrenn
Full record: Fortrenn
Year(s): 664
Event type(s): 
Connected people: 
Source entry: U664.3
Evidence: The battle of Luith Feirn i.e. in Fortrenn"
place_glenn_geimin,Glenn Geimin,Glenn Geimin,695,1,slaying,Tadc,U695.2,"The slaying of Tadc son of Failbe, in Glenn Geimin","Place: Glenn Geimin
Full record: Glenn Geimin
Year(s): 695
Event type(s): slaying
Connected people: Tadc
Source entry: U695.2
Evidence: The slaying of Tadc son of Failbe, in Glenn Geimin"
place_grellach_dollaig,Grellach Dollaig,Grellach Dollaig by Aed son of Dlúthach son of Ailill son of Aed Sláine,695,1,slaying,Aed,U695.1,"Fínnechta, king of Temair, and Bresal his son, were killed in Grellach Dollaig by Aed son of Dlúthach son of Ailill son of Aed Sláine, and by Congalach son of Conaing son of Congal son of Aed Sláine","Place: Grellach Dollaig
Full record: Grellach Dollaig by Aed son of Dlúthach son of Ailill son of Aed Sláine
Year(s): 695
Event type(s): slaying
Connected people: Aed
Source entry: U695.1
Evidence: Fínnechta, king of Temair, and Bresal his son, were killed in Grellach Dollaig by Aed son of Dlúthach son of Ailill son of Aed Sláine, and by Congalach son of Conaing son of Congal son of Aed Sláine"
place_mag_breg,Mag Breg,Mag Breg,635,1,slaying,,U635.4,A great snowfall killed many in Mag Breg,"Place: Mag Breg
Full record: Mag Breg
Year(s): 635
Event type(s): slaying
Connected people: 
Source entry: U635.4
Evidence: A great snowfall killed many in Mag Breg"
place_mag_slecht,Mag Slécht,Mag Slécht in the territory of Connacht of the kindred of Baetán,620,1,slaying,,U620.1,The slaying in Mag Slécht in the territory of Connacht of the kindred of Baetán i.e. of Ailill son of Baetán and of Mael Dúin son of Fergus son of Baetan,"Place: Mag Slécht
Full record: Mag Slécht in the territory of Connacht of the kindred of Baetán
Year(s): 620
Event type(s): slaying
Connected people: 
Source entry: U620.1
Evidence: The slaying in Mag Slécht in the territory of Connacht of the kindred of Baetán i.e. of Ailill son of Baetán and of Mael Dúin son of Fergus son of Baetan"
place_muiresc,Muiresc,Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce,603,1,,,U603.2,The battle of Echros in Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce,"Place: Muiresc
Full record: Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce
Year(s): 603
Event type(s): 
Connected people: 
Source entry: U603.2
Evidence: The battle of Echros in Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce"
place_mumu,Mumu,Mumu,603,1,,,U603.5,The battle of Sliab Cua in Mumu,"Place: Mumu
Full record: Mumu
Year(s): 603
Event type(s): 
Connected people: 
Source entry: U603.5
Evidence: The battle of Sliab Cua in Mumu"
place_naendruim,Naendruim,Naendruim,639,1,repose,Crídán,U639.4,"Repose of Crídán in Naendruim, and of Aed Dub, abbot of Cell Dara—both bishops","Place: Naendruim
Full record: Naendruim
Year(s): 639
Event type(s): repose
Connected people: Crídán
Source entry: U639.4
Evidence: Repose of Crídán in Naendruim, and of Aed Dub, abbot of Cell Dara—both bishops"
place_peronne,Peronne,Peronne,649,1,repose,Fursu,U649.5,Repose of Fursu in Peronne,"Place: Peronne
Full record: Peronne
Year(s): 649
Event type(s): repose
Connected people: Fursu
Source entry: U649.5
Evidence: Repose of Fursu in Peronne"
place_srath_caruin,Srath Caruin,Srath Caruin,642,1,slaying,"Domnall, Hoan",U642.1,"Afterwards Domnall Brec was slain at the end of the year, in December, in the battle of Srath Caruin, by Hoan, king of the Britons","Place: Srath Caruin
Full record: Srath Caruin
Year(s): 642
Event type(s): slaying
Connected people: Domnall, Hoan
Source entry: U642.1
Evidence: Afterwards Domnall Brec was slain at the end of the year, in December, in the battle of Srath Caruin, by Hoan, king of the Britons"
place_taerr_breni,Taerr Bréni,Taerr Bréni,628,1,slaying,"Suibne Menn—the king of Ireland, Congal Caech",U628.3,"The slaying of Suibne Menn—the king of Ireland, Suibne Menn son of Fiachna son of Feradach son of Muiredach son of Eógan—in Taerr Bréni, i.e. by Congal Caech son of Scanlán","Place: Taerr Bréni
Full record: Taerr Bréni
Year(s): 628
Event type(s): slaying
Connected people: Suibne Menn—the king of Ireland, Congal Caech
Source entry: U628.3
Evidence: The slaying of Suibne Menn—the king of Ireland, Suibne Menn son of Fiachna son of Feradach son of Muiredach son of Eógan—in Taerr Bréni, i.e. by Congal Caech son of Scanlán"
place_the_battle_of_sliab_truim,the battle of Sliab Truim,the battle of Sliab Truim,615,1,slaying,Mael Coba,U615.1,"The slaying of Mael Coba son of Áed in the battle of Sliab Tuath Bélgadhain, alias in the battle of Sliab Truim","Place: the battle of Sliab Truim
Full record: the battle of Sliab Truim
Year(s): 615
Event type(s): slaying
Connected people: Mael Coba
Source entry: U615.1
Evidence: The slaying of Mael Coba son of Áed in the battle of Sliab Tuath Bélgadhain, alias in the battle of Sliab Truim"
